日期,本品牌A2吸引（Appeal）资产,本品牌日新增,本品牌日流失,对比品牌均值A2吸引（Appeal）资产,对比品牌均值日新增,对比品牌均值日流失
2025-11-08,1985175,218704,126943,2344589,130716,201121
2025-11-09,2126401,239042,97816,2240154,120027,224462
2025-11-10,2080411,110355,156345,2185699,129986,184441
2025-11-11,2132879,144300,91832,2073398,100877,213179
2025-11-12,2156404,106698,83173,2012096,103375,164677
2025-11-13,2150775,149324,154953,2033367,148050,126779
2025-11-14,1933779,65216,282212,2062563,205255,176059
2025-11-15,1831706,63777,165850,2076949,141500,127114
2025-11-16,1872812,123326,82220,2287132,316131,105948
2025-11-17,1920266,132591,85137,2637681,492887,142337
2025-11-18,2035829,198914,83351,2839024,375963,174620
2025-11-19,2067450,212124,180503,2879158,200478,160344
2025-11-20,2392242,412373,87581,2876861,213785,216082
2025-11-21,2684256,392150,100136,2866267,125031,135625
2025-11-22,3464970,888164,107450,2898862,154860,122265
2025-11-23,3350170,86379,201179,2903056,129226,125032
2025-11-24,3207867,107941,250244,2907953,118621,113723
2025-11-25,3391548,292690,109009,2938946,159336,128343
2025-11-26,3328269,79346,142625,2957184,113964,95726
2025-11-27,3323595,97545,102219,2994324,136542,99402
2025-11-28,3273338,92814,143071,2984935,131631,141019
2025-11-29,3385583,174549,62304,2931386,147251,200801
2025-11-30,3442071,117644,61156,2900523,107215,138077
2025-12-01,3439314,116442,119199,2671420,114243,343346
2025-12-02,3491014,181744,130044,2393686,173605,451339
2025-12-03,3422246,141063,209831,2265350,266375,394711
2025-12-04,3340035,147769,229980,2262758,215969,218560
2025-12-05,3039075,115468,416428,2189157,189077,262678
2025-12-06,2764601,133371,407845,2241110,183505,131552
2025-12-07,2025597,168406,907410,2225986,144361,159485
2025-12-08,2086600,150175,89172,2219959,129581,135608
2025-12-09,2087845,110117,108872,2258923,165235,126271
2025-12-10,2021173,241548,308220,2248505,157290,167709
2025-12-11,2132284,203226,92115,2451216,325192,122481
2025-12-12,2209406,192338,115216,2485905,180177,145488
2025-12-13,2242316,132687,99777,2585191,237534,138248
2025-12-14,2202237,142041,182120,2657163,211751,139780
2025-12-15,2313928,245110,133419,2862580,317327,111910
2025-12-16,2451348,267029,129609,2948855,198336,112061
2025-12-17,2385127,130927,197148,3036548,231017,143323
2025-12-18,2423746,184714,146095,2959817,166188,242920
2025-12-19,2344509,76169,155406,2871111,117189,205895
2025-12-20,2360325,140811,124995,2912888,226892,185114
2025-12-21,2324810,109342,144857,3102098,374900,185690
2025-12-22,2257109,89727,157428,3188828,232105,145375
2025-12-23,2160094,47834,144849,3261168,200707,128368
2025-12-24,2116273,62768,106589,3279706,179881,161343
2025-12-25,2050070,63443,129646,3418698,283044,144052
2025-12-26,1960831,74430,163669,3369439,223182,272441
2025-12-27,1834166,57479,184144,3429644,232819,172614
2025-12-28,1769055,47220,112331,3524323,316405,221726
2025-12-29,1687720,42297,123632,3633901,320124,210546
2025-12-30,1507606,44993,225107,3571278,209627,272250
2025-12-31,1255551,34984,287039,3585111,212337,198503
2026-01-01,1136165,42653,162039,3553127,178759,210743
2026-01-02,951945,42396,226616,3655413,256715,154428
2026-01-03,910069,61103,102979,3826268,290413,119558
2026-01-04,816112,79175,173132,3986882,363092,202478
2026-01-05,692386,42123,165849,3883720,271765,374928
2026-01-06,696529,89934,86635,3855182,211519,241453
2026-01-07,789743,137910,45525,3907011,248257,197823
2026-01-08,873426,146827,63137,3963269,230922,174683
2026-01-09,923097,103422,56486,3883131,203318,287653
2026-01-10,1004592,142711,63948,3920055,244017,211180
2026-01-11,1095192,144930,54367,3909791,219954,230243
2026-01-12,1181467,131329,45053,3819129,214007,304687
2026-01-13,1218818,78762,41462,3633921,163668,348899
2026-01-14,1261728,75435,34388,3653110,226646,210152
2026-01-15,1293853,58381,28129,3640509,209906,225182
2026-01-16,1354517,100131,39518,3628828,174292,185918
2026-01-17,1379133,66753,42275,3526866,172713,274524
2026-01-18,1412504,97873,64480,3373759,160545,313536
2026-01-19,1447393,123627,92573,3373595,393876,398555
2026-01-20,1552525,154735,53600,3380110,296318,294444
2026-01-21,1626125,194398,120888,3441211,296467,235367
2026-01-22,1551135,109879,185142,3453490,285812,273577
2026-01-23,1541618,153247,162745,3458069,258215,253667
2026-01-24,1539940,113067,115023,3506407,267017,218772
2026-01-25,1471772,77375,145898,3478767,222494,250164
2026-01-26,1437745,110765,144808,3395425,150877,234235
2026-01-27,1385930,82837,134814,3358150,184675,221967
2026-01-28,1379615,80403,86908,3448003,261849,172033
2026-01-29,1401519,105060,83222,3423551,212981,237407
2026-01-30,1395349,58943,65232,3375198,160147,208506
2026-01-31,1379820,94276,109728,3423087,225336,177468
2026-02-01,1380202,72201,71981,3429056,183496,177541
2026-02-02,1337935,56614,98859,3439454,171956,161604
2026-02-03,1281199,66999,123623,3306080,271040,404200
2026-02-04,1198617,65335,147844,3230402,233197,308697
2026-02-05,1064963,59740,193071,3155357,216636,291451
