日期,本品牌A4行动（Act）资产,本品牌日新增,本品牌日流失,对比品牌均值A4行动（Act）资产,对比品牌均值日新增,对比品牌均值日流失
2025-11-29,519132,3552,16381,1128986,2098,4659
2025-11-30,518868,901,1165,1127498,2408,3895
2025-12-01,518506,774,1136,1125943,2051,3607
2025-12-02,518274,975,1207,1124799,2995,4139
2025-12-03,518761,2026,1539,1124895,4170,4074
2025-12-04,518470,979,1270,1123254,3137,4778
2025-12-05,518252,842,1060,1121263,2947,4938
2025-12-06,517896,739,1095,1118985,2543,4821
2025-12-07,517800,885,981,1115728,2737,5994
2025-12-08,518212,1548,1136,1111273,2740,7195
2025-12-09,518040,913,1085,1106403,3136,8007
2025-12-10,495962,4575,26653,1100202,2972,9172
2025-12-11,495166,867,1663,1096945,4342,7600
2025-12-12,497080,3819,1905,1094371,3221,5795
2025-12-13,496801,786,1065,1092742,3614,5242
2025-12-14,488988,2177,9990,1091586,4296,5453
2025-12-15,488023,764,1729,1089702,4106,5990
2025-12-16,488081,2076,2018,1087494,3256,5464
2025-12-17,487558,629,1152,1084294,2999,6200
2025-12-18,487152,654,1060,1080980,2871,6185
2025-12-19,483539,1017,4630,1076354,2893,7519
2025-12-20,482932,1098,1705,1073550,2883,5686
2025-12-21,482393,835,1374,1071339,4462,6674
2025-12-22,482019,754,1128,1068570,4455,7224
2025-12-23,481705,590,904,1065661,3337,6246
2025-12-24,481363,696,1038,1063869,3326,5118
2025-12-25,480902,626,1087,1064423,4870,4316
2025-12-26,480693,683,892,1064713,4542,4252
2025-12-27,480234,700,1159,1063247,3547,5014
2025-12-28,479758,536,1012,1062878,3381,3750
2025-12-29,479035,561,1284,1061083,3015,4810
2025-12-30,478108,540,1467,1059724,2282,3641
2025-12-31,477549,370,929,1060699,3523,2548
2026-01-01,476958,423,1014,1060633,2770,2836
2026-01-02,476589,509,878,1061234,3826,3226
2026-01-03,476290,635,934,1061733,4479,3980
2026-01-04,476235,707,762,1063600,5509,3642
2026-01-05,475931,508,812,1065205,5002,3397
2026-01-06,475834,653,752,1066025,4340,3521
2026-01-07,476024,959,770,1066387,3921,3563
2026-01-08,476205,966,786,1066305,3470,3552
2026-01-09,476088,690,811,1064618,2811,4512
2026-01-10,475972,739,860,1062955,3234,4916
2026-01-11,475659,789,1105,1062048,3001,3916
2026-01-12,475366,717,1013,1060860,2802,3994
2026-01-13,475266,608,707,1060296,2531,3096
2026-01-14,474506,620,1391,1060158,2810,2958
2026-01-15,474207,541,840,1059705,2541,2998
2026-01-16,473974,526,762,1058873,2220,3052
2026-01-17,473607,506,874,1058711,2752,2915
2026-01-18,472523,708,1797,1058008,2508,3207
2026-01-19,471714,764,1586,1057919,3251,3342
2026-01-20,471364,684,1036,1058567,4036,3388
2026-01-21,471288,754,830,1059229,4372,3688
2026-01-22,471225,711,768,1059939,4079,3343
2026-01-23,470867,910,1277,1060222,3057,2743
2026-01-24,470423,646,1091,1060020,2714,2895
2026-01-25,469984,600,1051,1060340,2574,2235
2026-01-26,469679,518,822,1060152,1911,2087
2026-01-27,469421,445,713,1060248,1840,1736
2026-01-28,469289,445,573,1061099,1976,1113
2026-01-29,469087,497,702,1061151,1749,1688
2026-01-30,468612,424,907,1060938,1611,1820
2026-01-31,468079,531,1067,1060808,1734,1859
2026-02-01,467380,589,1293,1059841,2015,2979
2026-02-02,466391,488,1485,1058567,1675,2946
2026-02-03,465576,555,1392,1057131,1762,3202
2026-02-04,464601,523,1509,1055352,1658,3451
2026-02-05,463667,463,1403,1053209,1743,3902
2026-02-06,463338,963,1303,1050871,1782,4133
2026-02-07,462694,534,1180,1048774,1796,3910
2026-02-08,461983,523,1241,1046243,1852,4397
2026-02-09,461257,563,1300,1043377,1902,4779
2026-02-10,460655,561,1176,1039748,2020,5659
2026-02-11,460494,1022,1187,1037652,1425,3533
2026-02-12,460114,426,803,1035154,1314,3825
2026-02-13,459635,320,809,1031931,1177,4413
2026-02-14,459048,310,906,1028160,1112,4900
2026-02-15,456958,392,2499,1024298,1173,5056
2026-02-16,454620,555,2918,1021726,979,3568
2026-02-17,452839,420,2217,1018146,1393,4995
2026-02-18,452359,355,844,1015504,1585,4244
2026-02-19,447565,1680,6519,1013076,1697,4144
2026-02-20,446372,417,1631,1008160,1989,6928
2026-02-21,445433,403,1368,1003829,1876,6230
2026-02-22,444981,451,922,999862,1886,5873
2026-02-23,444169,478,1302,995344,2187,6737
2026-02-24,443555,394,1031,989217,2185,8345
2026-02-25,441001,1044,3629,986459,2238,5018
2026-02-26,439447,579,2158,981995,1986,6466
